county,year,pop
5051,2014,999999
5053,2001,16627
5053,2002,16655
5053,2003,16743
5053,2004,17041
5053,2005,17254
5053,2006,17455
5053,2007,17506
5053,2008,17744
5053,2009,17760
5053,2010,17891
5053,2011,17954
5053,2012,18026
5053,2013,999999
5053,2014,999999
5055,2001,37807
5055,2002,38030
5055,2003,38304
5055,2004,38668
5055,2005,39126
5055,2006,39907
5055,2007,40302
5055,2008,40618
5055,2009,40996
5055,2010,42187
5055,2011,42732
5055,2012,43166
5055,2013,999999
5055,2014,999999
5057,2001,23310
5057,2002,23249
5057,2003,23187
5057,2004,23103
5057,2005,23092
5057,2006,23169
5057,2007,23212
5057,2008,22969
